"county","population","religion","proportion"
"Beaver County",6629,"Non.Religious",0.223713984009655
"Beaver County",6629,"Assemblies.of.God",0
"Beaver County",6629,"Episcopal.Church",0
"Beaver County",6629,"Pentecostal.Church.of.God",0
"Beaver County",6629,"Greek.Orthodox",0
"Beaver County",6629,"LDS",0.74898
"Beaver County",6629,"Southern.Baptist.Convention",0.00241
"Beaver County",6629,"United.Methodist.Church",0
"Beaver County",6629,"Buddhism.Mahayana",0
"Beaver County",6629,"Catholic",0.0229288888889
"Beaver County",6629,"Evangelical",0.0042188888889
"Beaver County",6629,"Muslim",0
"Beaver County",6629,"Non.Denominational",0
"Beaver County",6629,"Orthodox",0
"Box Elder County",49975,"Non.Religious",0.0970485242621311
"Box Elder County",49975,"Assemblies.of.God",0.0023988888889
"Box Elder County",49975,"Episcopal.Church",0.0017
"Box Elder County",49975,"Pentecostal.Church.of.God",0.0027588888889
"Box Elder County",49975,"Greek.Orthodox",0
"Box Elder County",49975,"LDS",0.8137688888889
"Box Elder County",49975,"Southern.Baptist.Convention",0.00394
"Box Elder County",49975,"United.Methodist.Church",0.0033188888889
"Box Elder County",49975,"Buddhism.Mahayana",0.0250125062531
"Box Elder County",49975,"Catholic",0.0401788888889
"Box Elder County",49975,"Evangelical",0.0161488888889
"Box Elder County",49975,"Muslim",0
"Box Elder County",49975,"Non.Denominational",0.0054
"Box Elder County",49975,"Orthodox",0
"Cache County",112656,"Non.Religious",0.122541187331345
"Cache County",112656,"Assemblies.of.God",0.00262
"Cache County",112656,"Episcopal.Church",0.00283
"Cache County",112656,"Pentecostal.Church.of.God",0.0031288888889
"Cache County",112656,"Greek.Orthodox",0
"Cache County",112656,"LDS",0.8225488888889
"Cache County",112656,"Southern.Baptist.Convention",0.00383
"Cache County",112656,"United.Methodist.Church",0
"Cache County",112656,"Buddhism.Mahayana",0
"Cache County",112656,"Catholic",0.0293588888889
"Cache County",112656,"Evangelical",0.0141688888889
"Cache County",112656,"Muslim",0.00273
"Cache County",112656,"Non.Denominational",0.00372
"Cache County",112656,"Orthodox",0
"Carbon County",21403,"Non.Religious",0.20057935803392
"Carbon County",21403,"Assemblies.of.God",0.0011688888889
"Carbon County",21403,"Episcopal.Church",0.00598
"Carbon County",21403,"Pentecostal.Church.of.God",0
"Carbon County",21403,"Greek.Orthodox",0.01308
"Carbon County",21403,"LDS",0.53109
"Carbon County",21403,"Southern.Baptist.Convention",0.00841
"Carbon County",21403,"United.Methodist.Church",0.00519
"Carbon County",21403,"Buddhism.Mahayana",0
"Carbon County",21403,"Catholic",0.1911388888889
"Carbon County",21403,"Evangelical",0.04682
"Carbon County",21403,"Muslim",0
"Carbon County",21403,"Non.Denominational",0.00832
"Carbon County",21403,"Orthodox",0.01308
"Daggett County",1059,"Non.Religious",0.343720491029273
"Daggett County",1059,"Assemblies.of.God",0
"Daggett County",1059,"Episcopal.Church",0
"Daggett County",1059,"Pentecostal.Church.of.God",0
"Daggett County",1059,"Greek.Orthodox",0
"Daggett County",1059,"LDS",0.6562788888889
"Daggett County",1059,"Southern.Baptist.Convention",0
"Daggett County",1059,"United.Methodist.Church",0
"Daggett County",1059,"Buddhism.Mahayana",0
"Daggett County",1059,"Catholic",0
"Daggett County",1059,"Evangelical",0
"Daggett County",1059,"Muslim",0
"Daggett County",1059,"Non.Denominational",0
"Daggett County",1059,"Orthodox",0
"Davis County",306479,"Non.Religious",0.176289403189126
"Davis County",306479,"Assemblies.of.God",0.01082
"Davis County",306479,"Episcopal.Church",0.00093
"Davis County",306479,"Pentecostal.Church.of.God",0.00066
"Davis County",306479,"Greek.Orthodox",0
"Davis County",306479,"LDS",0.74659
