"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Gordon, Alex",460086,2019,633,15.8,8.1,".319",".330",33.7,5.4,38.4,"98.714198996","93.515087773",21.8,48.1
"Ramírez, José",608070,2019,542,13.7,9.6,".334",".342",32.6,6.3,35.7,"98.625705777","93.428589029",14.6,42.5
"Semien, Marcus",543760,2019,747,13.7,11.6,".373",".363",34,8.5,38.1,"98.394543077","93.291025385",18.3,42.2
"Dozier, Hunter",641531,2019,586,25.3,9.4,".360",".338",35.8,10,42.9,"102.015977632","95.204411763",27,44.7
"Newman, Kevin",621028,2019,531,11.7,5.3,".339",".303",33.4,2.1,24.8,"94.991693333","91.524680704",13.9,51
"Meadows, Austin",640457,2019,591,22.2,9.1,".380",".375",38.1,12.5,42.9,"101.27902925","94.853411479",23.5,42.2
"Kipnis, Jason",543401,2019,511,17.2,7.8,".301",".316",33.1,5.5,34.4,"97.701285761","92.914942527",20.4,46.3
"Sánchez, Yolmer",570560,2019,555,21.1,7.9,".281",".274",32.1,1,27,"95.805694709","91.918524721",22.8,48.8
"Machado, Manny",592518,2019,661,19.4,9.8,".335",".343",31.2,8,43.7,"102.073663723","95.40263803",24.2,46.7
"Springer III, George",543807,2019,556,20.3,12.1,".400",".400",31.6,14.1,44.8,"102.243162402","95.348781653",26.5,44
"Belt, Brandon",474832,2019,616,20.6,13.5,".319",".346",41.4,8.7,35.7,"97.86413404","92.972052601",22.8,46.3
"Altuve, Jose",514888,2019,548,15,7.5,".374",".344",28.2,8.1,34.5,"98.232746332","93.15652902",20.7,47.6
"Pillar, Kevin",607680,2019,645,13.8,2.8,".298",".300",33.1,4.9,30.8,"98.016751985","93.018091033",17.8,58.9
"DeJong, Paul",657557,2019,664,22.4,9.3,".322",".331",33,8.6,33.9,"98.154188241","93.091659652",24.2,48.8
"Hernández, César",514917,2019,667,15,6.7,".315",".302",32,2.7,28.3,"96.063685391","92.063206289",17.2,46
"Marte, Ketel",606466,2019,628,13.7,8.4,".405",".375",34.6,9.3,40,"101.092484421","94.7158706",17.6,47.8
"Reddick, Josh",502210,2019,550,12,6.5,".308",".316",36,3.4,29.4,"96.674681023","92.339940093",14.8,51.3
"Merrifield, Whit",593160,2019,735,17.1,6.1,".340",".325",42.4,4.5,29.2,"96.252648182","92.167329527",20.1,49.3
"Soler, Jorge",624585,2019,679,26.2,10.8,".378",".396",34.7,16.9,50.1,"104.405603365","96.703293759",32.5,44.1
"Conforto, Michael",624424,2019,648,23,13,".358",".371",35.8,11.9,39.2,"100.0477863","94.1312909",27.1,45.8
